Curse Name,Short Description,Resolution,Level,Target,Affects,NSFW,Reward
Fear of Reading,"You're ignorant and deathly afraid of changing that. Yes, like the Boondocks joke.","Read a book, even if someone has to force you to do it. Yes, like the Boondocks joke.",Major Inconvenience,You,Mental State,FALSE,2x 2 Star
Ping (1),"You hear the discord notification sound every time someone thinks about you, mentions you, or brings up a topic involving you.",Get a ticket that can control or silence the sounds in your head. Or ignore it for a month straight,Moderate Distress,You,Daily Life,FALSE,1x 3 Star
Foot in Mouth (Literally),"Every time you wake up, you have one of your feet in your mouth.","Gain higher body control, or successfully prevent foot in mouth for a week straight by any means necessary.",Major Inconvenience,You,Rest,FALSE,2x 2 Star
Dungeon Gates,"Gates will randomly begin appearing around the world. These lead to areas filled with a number of dangerous monsters, but equivalently filled with rare and precious resources. People will be magically empowered in order to be able to fight the monsters within the gates should the world not naturally be able to handle them.",Find whatever is creating the gates and stop it.,Moderate Physical Threat,World,Daily Life,FALSE,2x 3 Star
The Tower,"The world itself is altered to center around a massive tower full of monsters, rare resources, and magical loot. The further up you go, the higher the danger gets. What lies at the top?",Destroy the tower. End the game.,Moderately Lethal Danger,World,Combat,FALSE,2x 4 Star
STATS STATS STATS,"Everything in the world is now represented by a proper RPG system. Everyone gets a class, potentially multiple, skills, abilities, and etc expressed simply though an easily called up menu that they instincitvely know how to bring forth. This does not grant them any special powers beyond what they already have, but it does make it easier to determine what they can improve or attempt to gain next.",Bug or glitch the system hard enough to crash the whole thing. Or figure out what caused it to stop it. Or utilize a world altering wish to remove the system.,Moderate Distress,World,Daily Life,FALSE,1x 3 Star
Stats Are King,"Everyone is obsessed with some kind of arbitrary rating number applied to their existence. Maybe every job is ranked from F to S, maybe people won't stop comparing their RPG-like stats. Maybe they just keep shouting ""Band for Band!"".","Either enact total societal change not centered around arbitrary rankings, or just live with the stupidity.",Moderate Distress,World,Daily Life,FALSE,1x 3 Star
Wallet and Phone!,"At random, someone will try to rob you in a manner befitting your setting, usually in an alleyway or on a backroad, always with a knife or some other small weapon",Defeat the robber without losing your life,Minor Physical Threat,You,Combat,FALSE,1x 3 Star
TikTok Timeloop,-ou're stuck in a trending tiktok and must escape before the video loops in one minute. Y-,Break the loop. Escape.,Major Distress,World,Mental State,FALSE,1x 3 Star
Spongebob's Sundae Breath,You've got breath so bad it could kill a man,"Brush your teeth twice daily for a year, gargle mouthwash, breath mints, the whole nine yards.",Minorly Lethal Danger,Others,Daily Life,FALSE,1x 4 Star
Hey Mister!,"Remilia Scarlet from Touhou Project will randomly ask you to do something for her, ranging from harmless tasks to life threatening danger. Sometimes her servants will appear instead.",Keep her happy until she gets bored of bothering you (3 months),Minor Existential Erasure,You,Daily Life,FALSE,1x 5 Star
No Object Permanence,You lose your sense of object permanence,"Regain your sense of object permanence the long way like a baby, or get a ticket that adjusts your senses back to normal.",Major Distress,You,Daily Life,FALSE,1x 3 Star
French,You're French now. Everything you do or say will be in French. You retain the average French person's grasp of other languages.,"Relearn the local language, or get a ticket that does it for you",Moderate Inconvenience,You,Communication,FALSE,1x 2 Star
Welcome to Cyberstan,The Automatons from Helldivers 2 want you dead and converted into one of their Cyborg Legion. You have been transported to their homeworld. Good luck.,"Survive 24 hours without being captured, converted, or killed",Majorly Lethal Danger,You,Combat,FALSE,2x 4 Star
THE GREAT INDIFFERENCE,"Hey Kiddo. Something from beyond the veil is knocking at your door and really wants to be let in. Make a deal, or someone else might do it first.","Survive its machinations with the power of love and connections to others. No, I'm not joking.",Moderate Existential Erasure,World,Existence,FALSE,1x 5 Star
Banjo Kazooie Communication,"The entire world cheaped out on voice acting, so everyone speaks in random noises akin to the characters in Banjo Kazooie. It's all still understandable, just... a little annoying.",Find either Gruntilda or the hidden doll anchoring the curse and sock it real good in the face,Major Inconvenience,World,Communication,FALSE,2x 2 Star
Hakurei Shrine Finances,Fate conspires to make you perpetually broke to the point that a full bowl of rice is a luxury,Gain enough luck and fortune to counteract your own brokeness,Moderate Distress,You,Daily Life,FALSE,1x 3 Star
Soul Gem,"Your soul is now a physical soul gem. If it leaves a 200 meter radius, of your body, you die. If it breaks, you die. If you are consumed by despair, you turn into a monstrous eldritch Witch and then die via Magical Girl. And you didn't even get your one wish...",Return your soul back to its proper container. Or live with the consequences,Minor Existential Erasure,You,Existence,FALSE,1x 5 Star
13375P34K,"You can only speak and write in nearly incomprehensible Leetspeak. How you pronounce the numbers audibly is unknown, but it's still incomprehensible.","Relearn how to use an actual comprehensible language, either the slow way or with a ticket",Major Inconvenience,You,Communication,FALSE,2x 2 Star
Crack The Planet,You have 24 hours before an alien planet cracking ship harvests the planet you're on for resources and raw material,The planet survives the attack,Majorly Lethal Danger,World,Existence,FALSE,2x 4 Star
Celebrity,"You draw way more attention than normal, people notice you in a crowd. It's easy to be famous, hard to have private moments.","Gain the ability to hide from anyone looking for you, however it has to happen",Major Inconvenience,You,Daily Life,FALSE,2x 2 Star
Milkaholic,You're hopelessly addicted to milk and will suffer withdrawal symptoms for not drinking enough in a week,"Get sober, or drink milk from 3 or more C rank or higher sources",Moderate Distress,You,Daily Life,FALSE,1x 3 Star
No Chef,You're comically dogshit at cooking. You could literally burn water.,Acquire a C rank or higher cooking ticket,Minor Distress,You,Daily Life,FALSE,3x 2 Star
Alcoholism,You're a normal alcoholic and all the associated problems.,Get sober.,Moderate Distress,You,Daily Life,FALSE,1x 3 Star
Doting Parents,"Your parents are a bit more helicopter-y than normal, and care a lot about your health and wellbeing and what you're doing. Good luck doing dangerous stuff without them.",Enjoy having loving parents,Major Inconvenience,You,Daily Life,FALSE,2x 2 Star
Loner,"You have the aura of a loner. It's harder to get any attention at all, even your parents might forget you occasionally","Perform a feat that draws a lot of attention towards you, worth a 3 star ticket",Major Inconvenience,You,Relationships,FALSE,2x 2 Star
Dead Tongue,"You've lost all sense of taste, even gourmet dishes taste like wet mush","Eat 10 meals from someone with a C rank or higher cooking skill. Or, eat 3 or more C rank or higher food items",Major Inconvenience,You,Daily Life,FALSE,2x 2 Star
Neat Freak,You have a compulsion to be neat and tidy and clean to the point of distress at seeing dirt. Drains stamina when dirty,Achieve a higher level of discipline or increase mental resilience until it doesn't matter anymore,Moderate Distress,You,Mental State,FALSE,1x 3 Star
Orphan,Your parents are dead. Probably in a horribly traumatic way too.,None.,Major Distress,Others,Daily Life,FALSE,1x 3 Star
Four Eyes,"You have pretty bad eyesight and need glasses to see things clearly. Comes with glasses, at least.","Get your eyes fixed properly, no matter the cause",Moderate Inconvenience,You,Daily Life,FALSE,1x 2 Star
Stone Faced,"You are stoic to the point that no one can read your emotions or feelings, even when you try to say it out loud.",Acquire a higher level of communication or charisma,Moderate Inconvenience,You,Communication,FALSE,1x 2 Star
Edgy,You have an aura of being a total edgelord. Attracts chuunibyou whether you like it or not.,"Get a high level of communication, or a ticket that counteracts the edgelord aura",Moderate Inconvenience,You,Relationships,FALSE,1x 2 Star
Accidental Exhibitionism,"You lose your clothes. A lot. It's not even sexual, it's just dumb. Does not happen in combat.","Wear a full set of D rank clothes or higher (shirt, pants, underwear, socks, shoes, accessories)",Minor Distress,You,Daily Life,FALSE,3x 2 Star
Illiterate,You have forgotten every language you previously knew how to read.,Relearn those languages however you can,Major Inconvenience,You,Communication,FALSE,2x 2 Star
Obvious Tells,"You physically cannot lie or hide your emotions. Something about you always tells- changing eye or hair color, physical traits that move with emotion, even a visible aura or a mood display.",Remodel your body or gain enough control to stop showing those signs entirely. Or live with it. It's kinda cute.,Major Inconvenience,You,Communication,FALSE,2x 2 Star
Lil,You're small and short and adorable. You will always get carded for booze and smokes. Few people will take you seriously in a professional setting.,Alter your body to be bigger with some kind of effect,Moderate Inconvenience,You,Daily Life,FALSE,1x 2 Star
Creature of Comfort,"You must always feel comfortable with your circumstances and sleeping situation, lest your energy recovery decrease in proportion to your discomfort.","Gain enough discipline to overcome the problem, or gain 5+ quality of life tickets",Moderate Distress,You,Rest,FALSE,1x 3 Star
Bad Blood,"You were born into a family of bad people- criminals, cultists, gangsters, billionaires, politicians, anything really.",None.,Moderate Distress,You,Daily Life,FALSE,1x 3 Star
Menacing,"You come off as far more menacing than you mean to be, to the detriment of your ability to talk to people without them thinking it's a threat","Gain a higher level of communication, or acquire something to counteract your menacing aura",Minor Distress,You,Communication,FALSE,3x 2 Star
Jusenkyo Curse,"Cold water swaps you to the opposite sex, hot water changes you back. You are now a magnet for cold water.","Acquire a genderbending ticket, or a dose of the opposite curse that you have",Major Inconvenience,You,Physical State,FALSE,2x 2 Star
Yandere,"There is a Yandere out there hunting for your love. She will not take no. She will not listen to reason. She will try to kill her love rivals, and maybe even you.",Pacify her somehow,Minor Physical Threat,You,Relationships,FALSE,1x 3 Star
Bleeding Wallet,"Every time you get hurt, you lose money in proportion to the damage received. A broken limb might be a lost wallet, a lost limb could delete half your bank account.","Get life insurance, obtain an obscene amount of wealth, or endure your finances being wiped out 10 times",Major Distress,You,Daily Life,FALSE,1x 3 Star
Something Has Gone Terribly Wrong,"(It does nothing but cause severe paranoia. No, your character cannot see this text)",Good luck.,Major Distress,You,Mental State,FALSE,1x 3 Star
Weakness of Metal,Your body can no longer handle receiving augments or implants of any kind. Even metal teeth get rejected,"Acquire 3 or more cybernetic augments from the gacha, or acquire 3 tickets that counteract the curse",Minor Physical Threat,You,Physical State,FALSE,1x 3 Star
Pervert Aura,"You have the aura of a pervert, regardless of action. Everyone thinks you're a horny pervert with ulterior motives.","Gain a high enough level of communication to counteract the misunderstanding, abstain from sex for a month, or receive 5 C rank or higher tickets via sex",Major Inconvenience,You,Communication,TRUE,2x 2 Star
Out of Shape,"Your physicality is notably below average for your starting species, you're quite weak and frail",Get strong. WORK BITCH!,Major Inconvenience,You,Physical State,FALSE,2x 2 Star
Extreme Masochist,You're addicted to pain and feel more pleasure the worse it gets. You seek out dangerous situations to sate your fetish,"Obtain a high enough level of discipline to counteract the compulsion, or increase your resilience to injury",Moderate Physical Threat,You,Physical State,TRUE,2x 3 Star
Lost,You can get lost on a straight path and clear directions. You'll need a guide or a leash to get you to places on time,Acquire an advanced sense of direction or navigation ability,Moderate Distress,You,Daily Life,FALSE,1x 3 Star
Disarmed,"You're missing an arm, either left or right. It is amputated somewhere between shoulder and elbow.",Regrow your arm or get a new one,Moderate Physical Threat,You,Physical State,FALSE,2x 3 Star
Homeless,"You physically cannot sleep beneath a roof or own a modern, legal dwelling",Build your own home or acquire enough money to buy the entire neighborhood,Moderate Physical Threat,You,Daily Life,FALSE,2x 3 Star
Excommunicated,"Religious institutions and divine beings dislike you on principle. Your holy/divine effects are weakened, and you are extra weak to holy/divine effects",Acquire a pardon from a high level clergy member or from a divine being,Minorly Lethal Danger,You,Existence,FALSE,1x 4 Star
Untitled Goose,"A goose is dead set on harassing you with inconvenient actions. It cannot be permanently killed or trapped, and will hold a grudge",Appease the goose or sever its immortality,Moderate Distress,You,Existence,FALSE,1x 3 Star
Overloading,"Your energy regeneration is too high and will build up excessive amounts to the point of leakage, pain, and possibly permanent injury to yourself and others. Also drains stamina to hold excess energy",Acquire 3 higher level energy reserve expansions,Major Physical Threat,You,Physical State,FALSE,2x 3 Star
Sleep-porting,"Every time you wake up, you have teleported somewhere completely random. You won't end up somewhere immediately dangerous, at least.",Acquire 3 or more higher level space related or teleportation tickets,Moderate Physical Threat,You,Rest,FALSE,2x 3 Star
Avian Adversary,"The sky hates you. Birds shit on you, crows take your stuff, it rains on you, and if you go outside in the rain, you might get hit by lightning","Improve affinity with the air/sky, acquire a ticket to increase affinity with birds",Minorly Lethal Danger,You,Daily Life,FALSE,1x 4 Star
Intervention,"If you roll this, you can no longer take more curses",Stop.,Major Inconvenience,You,Existence,FALSE,2x 2 Star
Mute,"You cannot talk or communicate verbally in anyway, even groaning and shouting is difficult","Fix your vocal cords somehow, either with healing or implants",Major Distress,You,Communication,FALSE,1x 3 Star
Critical Weakness,"All of your weaknesses are even worse than normal, doubled at the very least, up to tripled",Acquire 3 or more tickets providing some kind of resistances,Major Physical Threat,You,Physical State,FALSE,2x 3 Star
Extreme Sadist,"You have a compulsion to hurt other people for your own pleasure, the less you indulge, the more difficult it is to rein in",Achieve a higher level of discipline or increase mental resilience until it doesn't matter anymore,Moderate Physical Threat,You,Mental State,FALSE,2x 3 Star
Deepest Snooze,"When you fall asleep, you are guaranteed to stay unconscious for 8 hours straight unless attacked. If woken prematurely, you suffer severe exhaustion and a handicap to all stats","Acquire an ability that lets you go without sleep, or lessen/control your own sleep times",Moderate Physical Threat,You,Rest,FALSE,2x 3 Star
Mandatory Exhibitionist,"Every percent of your skin covered means a percent of stats lost, up to 75%. 75% coverage results in 1/4th of your normal stats available",Win 3 fair fights to the death with the full penalty active against equal or stronger opponents,Moderately Lethal Danger,You,Combat,FALSE,2x 4 Star
Cursed Remix,"Whatever world you pick, it's not the same as you think it is. Places are different, people are changed, monsters and challenges come in different categories. There is some good, but it's mostly bad",None.,Moderately Lethal Danger,World,Existence,FALSE,2x 4 Star
Slow Slots,"Your ability cooldowns go from 5 minutes to one hour each. Once you swap an ability slot, you must wait an hour to change that slot again.",Acquire 5 speed boosting tickets,Moderately Lethal Danger,You,Combat,FALSE,2x 4 Star
Conspicuous,"The Omni Gacha now takes the form of a giant, 2 meter tall, golden, decorated, flashy, loud, colorful, conspicuously branded gachapon machine with lights, sounds, an arcade interface, mascot animations, and confetti. Insert your ticket and press the button to receive your gacha capsule! Cannot be used in combat. Vanishes after idling for 10 minutes","Acquire 3 or more C rank stealth abilities. You can keep the gacha machine if you like, though, just as a novelty",Major Distress,You,Daily Life,FALSE,1x 3 Star
Gift of Giving,"You can now gift your tickets to your friends, companions, familiars, pets, so on and so forth. You can no longer acquire tickets for yourself past your starting tickets.","Acquire at least C rank abilities on your own merit, instead of gambling for them",Moderately Lethal Danger,Others,Combat,FALSE,2x 4 Star
Merciful to a Fault,"You cannot bring yourself to kill or harm anyone who has surrendered or otherwise given up fighting, even if you need to",Kill 100 people,Minorly Lethal Danger,You,Combat,FALSE,1x 4 Star
Experience Required,"All skills you achieve are instead converted to Fixations, and require training and practice to achieve the full potential of the ticket",None.,Moderate Distress,You,Daily Life,FALSE,1x 3 Star
Zero Pain Tolerance,"You cannot perform when injured- even a light wound might make it hard for you to focus, and deeper wounds make it hard to move at all","Gain enough discipline to weather the pain, increase your pain tolerance massively, or nullify the problem entirely",Minorly Lethal Danger,You,Combat,FALSE,1x 4 Star
Curse of Arms,"You cannot wield weapons at all. The more you try, the more it hurts to try, to the point of possible permanent nerve damage",Acquire 5 C rank or higher weapons and at least one kind of weapon mastery,Minorly Lethal Danger,You,Combat,FALSE,1x 4 Star
Battle Maniac,You love fighting to the point that you will always seek out stronger and stronger opponents to fight to the death,"Acquire enough discipline to hold your battle fever in check, or increase mental resilience",Moderately Lethal Danger,You,Combat,FALSE,2x 4 Star
Cosplay!,"You appear as or are instantly turned into a copy of an in-universe fictional character. If that character is a girl, so are you, and same with any other physical trait. A copy of their most known clothing is included, and you get uncomfortable if you aren't wearing it or something else the character wore in series. You look and sound just like them but gain none of their powers or experience.",Gain a transformation ability that can change your body to something else or convince people you aren't that character.,Major Inconvenience,You,Daily Life,FALSE,2x 2 Star
Fantastic Discrimination,You have received a free race change! Into a race or species commonly seen in a negative light by the inhabitants of your chosen setting. You at least get a D rank or lower trait out of it.,None.,Moderate Physical Threat,You,Daily Life,FALSE,2x 3 Star
No Kill Rule,"You cannot kill. At all. Even your most lethal of blows will just put them into the hospital (nonlethally). Knocking them out is fine though. It's explicitly just holding yourself back, though, not a physical law.",Achieve a higher level of discipline or increase mental resilience until it doesn't matter anymore,Moderately Lethal Danger,You,Combat,FALSE,2x 4 Star
Deadly Sin - Lust,"You need sex like you need water to live. Every 24 hours without sex, your stats decrease by 10%. After 10 days you will just die. Your libido is intense and nearly unignorable.",Gain 6 or more 4 star or higher tickets through sex acts,Majorly Lethal Danger,You,Relationships,TRUE,2x 4 Star
Deadly Sin - Pride,"You cannot let a challenge go- you must accept any and all challenges, either for games or duels to the death and anything between. Losing halves your stats for 12 hours. Losing enough times consecutively might kill you.","Win 10 fair fights against someone equal in strength or stronger, or acquire a high level of discipline",Majorly Lethal Danger,You,Existence,FALSE,2x 4 Star
Deadly Sin - Greed,"You can never have enough, and you can never do charity without expecting compensation. Theft is always on the table. You hate giving up even a pittance of your ill gotten wealth. This leads you to extremely dangerous and morally awful places.",Destroy 3 C rank or higher ticket items,Majorly Lethal Danger,You,Mental State,FALSE,2x 4 Star
Deadly Sin - Sloth,"Lethargy consumes you. Energy and regeneration are halved. All timers and cooldowns are doubled. You need twice as much sleep as normal. The more hours you go without sleep, the lower your stats get, at 10% per hour.",Gain 3 C rank or higher tickets for energy or agility boosting traits,Majorly Lethal Danger,You,Physical State,FALSE,2x 4 Star
Deadly Sin - Gluttony,"You consume in excess. You need 10x your original food supply to stay sated, or starve to death within 3 days even while eating normal meals.","Acquire efficient cells, voracity, or some other way to feed yourself. Or, devour 5 C rank or higher ticket items",Majorly Lethal Danger,You,Physical State,FALSE,2x 4 Star
Deadly Sin - Wrath,"You seek violence and vengeance for even the smallest of slights, and nothing ever sates the anger. The more you fight, the angrier you get. The angrier you get, the lower your intelligence and mental resilience. When it hits 0, you are reduced to nothing but rage and bloodlust until you are subsequently killed. You cannot gain tickets while in a blood frenzy.","Gain 5 C rank or higher tickets for discipline or emotional control, or find a way to avoid fighting or flying into a rage for a month straight",Majorly Lethal Danger,You,Mental State,FALSE,2x 4 Star
Deadly Sin - Envy,"You always want what others have. Theft is your first choice. You try to steal what others have no matter how you have to get it. It is never enough. The more you steal, the lower your mental resilience and discipline. When it hits 0, your envy overwhelms you, and you commit suicide for lack of happiness.","Gain 6 C rank or higher tickets for mental discipline, or spend a year without stealing anything from anyone",Majorly Lethal Danger,You,Mental State,FALSE,2x 4 Star
Seven Deadly Sins,Take all 7 Deadly Sin Curses at once with half the ticket rewards per curse,Resolve them all and get a free EX Star ticket,Majorly Lethal Danger,You,Existence,TRUE,2x 4 Star
Taxation,"Any ability currently in active rotation takes energy to keep there, even while not in use. The higher the rank, the more draining it is",Acquire 3 or more C rank or higher energy regen speed tickets,Minorly Lethal Danger,You,Combat,FALSE,1x 4 Star
Something has Gone Incredibly Wrong,(Your character cannot see this. Roll another curse and apply here. Your character does not know they have this curse until its effects become clear),Survive.,Major Existential Erasure,You,Existence,FALSE,2x 5 Star
Elemental Weakness,"All elemental attacks (Fire, Water, Earth, Air, Lightning, etc) deal double damage. Cannot increase elemental defenses to compensate.","Acquire 3 C rank or higher elemental affinity tickets, or expert or higher conceptualization",Moderately Lethal Danger,You,Combat,FALSE,2x 4 Star
Unfamiliar,Your familiars are not automatically loyal to you. How they treat their servitude is up to their normal personalities.,"Either establish a rapport with each familiar, or gain a ticket that enforces loyalty on summoned beings",Majorly Lethal Danger,You,Relationships,FALSE,2x 4 Star
Hemophobia,You are deathly terrified of blood to the point of becoming nauseous or even fainting at the sight of it,"Acquire enough discipline to hold the fear in check, or enough mental resilience to nullify it",Major Distress,You,Mental State,FALSE,1x 3 Star
Do Not Resuscitate,"Outside healing methods do not work on you, only your own recovery rate and healing abilities function on yourself.","Consume 3 C rank or higher healing items, or acquire 3 tickets capable of healing others, or acquire Receptive Body",Moderately Lethal Danger,You,Physical State,FALSE,2x 4 Star
Leviathans,"The world now contains many massive, powerful monsters that hate humanity/the local default species with a passion.",None.,Majorly Lethal Danger,World,Combat,FALSE,2x 4 Star
Cast From HP,"Expending energy for your abilities causes your vitality to leak with it, causing increasingly severe health complications akin to severe blood loss","Acquire 3 C rank or higher tickets that increase health recovery, or acquire a powerful soul healing ticket",Moderately Lethal Danger,You,Combat,FALSE,2x 4 Star
Tech Illiterate,"You cannot operate post-1800s technology at all, not in the slightest. Everything fails on touch. If you are in a world without modern technology, reroll this curse.",Receive 3 C rank or higher tech entries or Adep or higher Mechanics/Interfacing,Moderate Physical Threat,You,Daily Life,FALSE,2x 3 Star
Showing One's Hand,"To use your abilities at full potential, you must explain how they work to your opponent in a way they can understand, otherwise you are permanently capped at 80% effectiveness.",Acquire 3 or more tickets that increase stealth or ability to hide information,Moderately Lethal Danger,You,Combat,FALSE,2x 4 Star
Honesty,You cannot lie. Ever. Not even by omission or clever wording.,Acquire a deception ticket or a higher level of communication/persuasion,Major Distress,You,Communication,FALSE,1x 3 Star
Paraplegic,"Your legs do not function anymore. You have no physical complications stopping you, your brain just refuses to acknowledge that your legs exist","Regrow your legs or otherwise acquire new ones, or a ticket to reconnect your legs to your mental map of your body",Major Physical Threat,You,Daily Life,FALSE,2x 3 Star
Animal Antagonist,"Animals really hate you. Any non-domesticated animal that perceives you considers you either a threat, a competitor, or prey",Acquire 3 tickets to increase your affinity with animals,Moderate Physical Threat,You,Daily Life,FALSE,2x 3 Star
Lost And Found,"Any time you roll a ticket, you instead get a compass pointing you to where it landed within 1 hour of travel time in a completely random place. Go find it.","Acquire 3 C rank or higher sensory tickets, 3 C rank or higher spatial manipulation tickets, or C rank or higher inventory ability",Minor Physical Threat,You,Daily Life,FALSE,1x 3 Star
Frail,"You cannot heal on your own at all, even tiny papercuts stick around potentially forever.",Acquire 3 C rank or higher healing tickets,Moderately Lethal Danger,You,Physical State,FALSE,2x 4 Star
Mortal Enemy,"The moment you enter your setting, an A rank enemy becomes aware of your existence and immediately wants to kill you. They will not stop.",Kill or neutralize.,Majorly Lethal Danger,You,Combat,FALSE,2x 4 Star
Horrible Night,"You immediately find yourself in a horrible situation upon entering the world. Cult kidnapping, mafia debt, terrorist attack, anything.",None.,Majorly Lethal Danger,You,Existence,FALSE,2x 4 Star
Nightwalker,"All the problems of vampirism, none of the upsides. Crosses burn, silver burns, wooden stakes are extra lethal, garlic causes severe reactions, sunlight will vaporize any part that it hits.","Acquire a C rank or higher light affinity ticket, or acquire a pardon from a sun god",Minor Existential Erasure,You,Existence,FALSE,1x 5 Star
Mysterious Anime Disease,"You have generic anime disease. You cough up blood and continue to grow weaker and weaker as time passes, reducing energy levels and even preventing some abilities from being used. You have one year left. Good luck.","Get an S tier or higher healing treatment, or roll a ticket that can cure an incurable disease",Majorly Lethal Danger,You,Existence,FALSE,2x 4 Star
Ignorance,"You have no clue what any of your gacha results are, just the names they're given",Acquire 3 or more mental enhancing abilities,Moderately Lethal Danger,You,Daily Life,FALSE,2x 4 Star
Brand of Sacrifice,"The Brand of Sacrifice burns into your neck. You now attract all sorts of monstrous entities, demons, spirits, etc. The brand will throb with pain to warn you when malicious entities are near","Be cleansed with an A rank or higher purification/exorcism, or roll a C rank or higher demonic race change or affinity, or acquire 3 B rank or higher stealth traits",Moderate Existential Erasure,You,Existence,FALSE,1x 5 Star
Wrath of Flesh,Your physical traits are locked to where they were when you acquired this curse and will never increase again.,"Acquire 3 A rank or higher tickets that directly boost physical stats, or have your biology remodeled by an S rank or higher effect.",Major Physical Threat,You,Physical State,FALSE,2x 3 Star
Collared,"You are a slave to a person yet to be seen. You automatically obey your master's orders without hesitation. You cannot harm your master. If they die, you die.",Get your master to free you or cheat death when they die,Majorly Lethal Danger,You,Relationships,FALSE,2x 4 Star
Multiversal Enmity,Reality hates you and will randomly send an opponent (from the familiar gacha) matching the level of your highest rank ticket item to try and kill you,Survive.,Moderate Existential Erasure,You,Combat,FALSE,1x 5 Star
Shadowed Mirror Match,"At random times, a shadow matching all of your tickets and stats (but not non-gacha abilities and skills) will try to murder you without pause or reason. When killed, it will return.",Completely crush your shadow in a one on one fight or hit them with an SS rank or above erasure/immortality negating effect,Major Existential Erasure,You,Combat,FALSE,2x 5 Star
On The Hunt,An enemy with every single Master level skill in the gacha will stop at nothing to kill you.,Kill or be Killed.,Minor Existential Erasure,You,Combat,FALSE,1x 5 Star
Inverse Rule of Armor Protection,"Less is more, and the less you're wearing the more protected you are. This takes into account to most protective thing on your person so long as it is intended as proper armor for that part of your body. Yes, this means you likely need to personally commission nipple plates as chest armor.","Successfully engage in a fight in full traditional armor without being injured or engage in a fight completely unarmored, including using this effect, without being injured. Both fights must take place against opponents roughly on the same level.",Minor Physical Threat,You,Combat,TRUE,1x 3 Star
MIKU!,You are now a Miku variant. Comes with singing ability. Twintails and detached sleeves are not optional. You get increasingly unhinged the longer you are 'out of uniform'.,"Obtain an ability that transforms you into someone not Miku. Race changes do not count for this, you'll simply be an () Miku.",Minor Inconvenience,You,Physical State,FALSE,1x 2 Star
The Most Important Question,"A tall being in a dapper suit wielding a large sword will appear once a week and ask, loudly, ""ANSWER ME, WHAT DOES THIS PLACE NEED?""","The answer is ""More Bunnygirls!"". Answer correctly and receive 1-10 bunnygirl companions for the next 24 hours. Answer 10 times to resolve the curse permanently. Or kill the guy. Answering incorrectly incurs a stat penalty.",Moderate Physical Threat,You,Combat,FALSE,2x 3 Star
Hello Stanley,You now have a british narrator trying to gaslight you into thinking everything is fine and alright.,Hide in a closet with a bucket until he gets tired and leaves,Moderate Inconvenience,You,Mental State,FALSE,1x 2 Star
YOU ARE COURTING DEATH!,The world now works on really terrible cultivation/xianxia rules. Expect a lot of arrogant young masters getting into fights over jade beauties and references to Mount Tai,Become the strongest cultivator and get the hell outta there,Major Physical Threat,World,Combat,FALSE,2x 3 Star
