Name,Series,Short Description,Category,Gender,Magic,Memetic,Might,Mind,Motion,Moxie,Mutation,Myth,Stats,Rank,Growth Type,Growth Rate,Restock,Return,Gift,NSFW
Cookie Jar,Cookie Clicker,A glass jar with a near infinite supply of warm chocolate chip cookies. Do NOT break the jar.,Consumable,N/A,C,D,F,F,F,F,F,F,15,D,N/A,N/A,N/A,1hr,TRUE,FALSE
Ancient Fruit Wine,Stardew Valley,"A bottle of Iridium Quality Wine made from Ancient Fruit. Tastes really good, and has artisanal value.",Consumable,N/A,E,F,F,F,F,E,F,D,7,E,N/A,N/A,12hr,N/A,TRUE,FALSE
Magician's Hat,Generic,"A standard magician's top hat. If you reach in, you can pull out a rabbit or a dove one at a time.",Wearable,N/A,E,F,F,F,F,F,F,F,1,F,N/A,N/A,N/A,N/A,TRUE,FALSE
Etiquette,Generic,The skill of excellent etiquette. You may present yourself to high society without embarrassing yourself or your patron.,Skill,N/A,F,F,F,E,E,E,F,E,4,F,N/A,N/A,N/A,N/A,FALSE,FALSE
Beginner Performance,Generic,"You can perform with any instrument well enough to play basic songs, sing decently, dance decently. You could play in a high school band.",Skill,N/A,F,F,F,E,E,E,F,F,3,F,Train,Slow,N/A,N/A,FALSE,FALSE
Swimming,Generic,"The skill of excellent swimming. You could match an Olympian in theory, if not physicality.",Skill,N/A,F,F,F,E,E,F,F,F,2,F,N/A,N/A,N/A,N/A,FALSE,FALSE
Tax Evasion,Generic,"The skill of evading taxes. You're pretty good at it, and know a lot of ways to do it.",Skill,N/A,F,F,F,E,F,E,F,E,3,F,N/A,N/A,N/A,N/A,FALSE,FALSE
One Size Fits All,Generic,"Your partners feel no discomfort with your physical features. Mostly, no matter what your dick is like, it fits well inside any orifice. Somehow.",Passive,N/A,D,F,F,E,F,F,E,F,7,E,N/A,N/A,N/A,N/A,FALSE,TRUE
Water Breathing,Generic,You can breathe underwater just as well as on land.,Passive,N/A,F,F,F,F,F,F,E,F,1,F,N/A,N/A,N/A,N/A,FALSE,FALSE
Haydee Unit,Haydee 1,"A generic, mass produced Haydee unit. Good at climbing, puzzles, sneaking through large facilities, gunplay, and being thicc as fuck. Starts with one, with more manufacturable or summonable over time.",Familiar,Female,F,F,E,E,E,D,E,F,9,E,Tinker,Medium,N/A,N/A,FALSE,TRUE
The Absolute Solver,Murder Drones,"To you, reality is a simulation. One that is Solved. Utilzing the Solver allows you to replicate, generate, manipulate, and otherwise alter objects and reality itself. However, using the Solver will render you vulnerable to sunlight, and the only way to cool yourself is with blood.",Ability,N/A,SS,A,A,SS,A,E,S,E,"2,802",S,N/A,N/A,N/A,N/A,FALSE,FALSE
A Dude's Trenchcoat,Postal,"A black trenchcoat with a smiley face on the back and a cross and explosion pin attached to the lapel. It is extremely resistant to wear and tear, stains, and always smells lemon fresh!",Wearable,N/A,F,F,D,F,F,E,F,C,16,D,N/A,N/A,N/A,N/A,TRUE,FALSE
Size 34x,Generic,"The world itself seems more... porny. Women are more buxom, men are more studly, things without genitalia now have genitalia... doesn't change their behavior, though. Just makes it easier to have sex with them.",World,N/A,B,C,F,F,F,F,C,C,80,C,N/A,N/A,N/A,N/A,FALSE,TRUE
Lord Ravager Irontomb,Honkai: Star Rail,"The enemy of Erudition. An extremely powerful entity specialized in destruction of machinery and knowledge. Capable of infecting any mechanical existences through it's ""Anti-Organic Equation"". Incomplete, it can destroy universe, but should it find a sufficiently powerful head (a multiverse scale supercomputer) it becomes a multiversal threat.",Familiar,Nonbinary,F,EX,EX,F,EX,F,F,F,"30,000",SSS,Tinker,Snail,N/A,N/A,FALSE,FALSE
The Orb!,Generic,A glowing orb. Looking into it while pondering causes it to shift colors.,Novelty,N/A,E,E,F,F,F,F,F,F,2,F,N/A,N/A,N/A,1hr,TRUE,FALSE
Demonification,Helltaker,"You've been turned into a demon girl! Comes with a snazzy black and red suit. You hair is white, eyes red, and you have both black horns and a black spade tail. Getting more powerful turns your horns white. Holy things hurt more, but you can make and magically enforce agreements, are much stronger and faster, and have a greater affinity for magic.",Race,Female,C,C,D,D,D,C,C,C,65,C,Train,Snail,N/A,N/A,FALSE,FALSE
Xenussy Fever,Generic,"It is easier to attract, befriend, and seduce nonhumans, aliens, and things from beyond the stars. Does not confer language skills.",Passive,N/A,E,E,F,E,F,D,F,F,8,E,N/A,N/A,N/A,N/A,FALSE,FALSE
Horsetrogen,Umamusume,"You've been turned into an umamusume! An all female race with horse ears and a horse tail. You're significantly stronger and faster than a human and can improve physically significantly faster than a human can. If you get into a state of focus you can manifest a Zone, an aura around you that impresses your will onto the world.",Race,Female,C,D,D,E,C,D,C,E,47,D,Train,Fast,N/A,N/A,FALSE,FALSE
Shadow Bunny Girls,Persona,"Summon a number of buxom ladies entirely composed of shadow. They are dressed entirely in bunny girl outfits, but with a mask on their face marked only with two indents for eyes. Not very strong, but excellent low level workers. Ripping off their mask reveals their true form- a lower level mythical entity such as a generic demon or fairy.",Familiar,Female,D,D,D,E,D,E,F,D,27,D,Twin,Medium,N/A,N/A,FALSE,FALSE
TM Opera O,Umamusume,HARK! THE OVERLORD OF CENTURY'S END! THE CHAMPION OF THE RACE COURSE! EIGHT G1 WINS IN A ROW! LITERALLY MAGICAL! RUNS REALLY FAST! EXTREMELY GAY! THE ULTIMATE SELF-GLAZING THEATER KID!,Familiar,Female,C,D,D,E,C,C,C,A,151,B,Train,Fast,N/A,N/A,FALSE,FALSE
Tech Tree: Drone,Generic,"Gain great affinity with technology intended to make others into unthinking drones bent to your will. Drone looks start standard, but can be personally customized. Comes with a starter kit fashioned to the method you're most interested in already!",Skill,N/A,F,D,F,D,F,F,D,F,15,D,Tinker,Medium,N/A,N/A,FALSE,TRUE
Arcanum: Control,Generic,"You have a specialty in mind altering magics- hypnotic swirls, seductive whispers, pleasure and pain to induce obedience, the whole nine yards. Yes, this is a sex thing.",Skill,N/A,D,D,F,D,F,D,F,F,20,D,Train,Medium,N/A,N/A,FALSE,TRUE
Guideau,The Witch and the Beast,"An oddly pale, white haired, yellow eyed woman. She is crass, rude, doesn't understand modern living, and has a fixation on finding a specific magic user who she believes cursed her in this form. She is nigh unkillable, extremely fast and strong, and well experienced in a fight. Comes with a coffin. Should she kiss a magic user, she is able to return to her normal form for a short time- a massively powerful armored knight, tiering up all her physical stats.",Familiar,Female,E,F,C,D,C,E,F,F,27,D,N/A,N/A,N/A,N/A,FALSE,FALSE
Kamen Rider Kuuga - Growing,Kamen Rider Kuuga,"Otherwise known as Yusuke Godai. A kind, good natured, heroic soul. Not particularly strong at the moment, but will increase in power as time goes on. His punches and kicks hit in the force of tons. His finisher is a fairly weak Rider Kick.",Familiar,Male,E,E,D,E,D,E,D,C,29,D,Train,Medium,N/A,N/A,FALSE,FALSE
OOO Driver,Kamen Rider OOO,"The ancient belt of Kamen Rider OOO, powered by alchemy and human greed. Comes standard with its TaToBa combination medals. More medals acquirable through ticket rolls or from compatible sources.",Ability,N/A,A,C,C,D,C,D,C,A,250,B,N/A,N/A,N/A,N/A,FALSE,FALSE
Magical Girl Contract,Puella Magi Madoka Magica,"A simple contact. When signed and sealed, grants the signer one single wish. In exchange your soul becomes an egg-like gem and you gain magic related to your wish. Going 200 meters from the gem will ""kill"" your body. You're immortal as long as the gem remains unbroken, though it isn't any stronger than a normal gemstone. Using magic corrupts the gem and eventually turns you into a mindless entity bent on destruction. This may be slowed by positive thoughts, and reversed by destroying collected negativity that automatically incarnates into creatures and utilizing the cubes they drop. You poor bastard.",Race,N/A,C,C,D,F,D,F,F,E,31,D,N/A,N/A,N/A,N/A,TRUE,FALSE
Gadgetron Vendor Subscription,Ratchet and Clank,"This unassuming cube grants access to the wonderful wares of the company Gadgetron, headed in the Solana Galaxy. Considered the leading retailer of State-of-the-Art Gadget Technology, if Gadgetron doesn't have it, you probably don't need it! Assuming you have enough bolts (or applicable currency), anyway. Comes with either a male sales assistant, or a female Gadgetron Helpdesk robotic assistant",Arsenal,Other,S,B,A,C,SSS,B,A,E,"5,811",SS,Time,Medium,N/A,1hr,FALSE,FALSE
Power Word: Climax,Generic,"By deliberately intending to, you may say a word that causes a single person within line of sight to climax.",Ability,N/A,E,F,F,F,F,E,F,F,2,F,N/A,N/A,N/A,N/A,FALSE,TRUE
Personal Uplift Kit,Generic,"A kit complete with everything required to entirely change your appearance to anything you want within standard human guidelines. Be an elf or dwarf or something made entirely of latex if you want! Doesn't confer any advantages, only the appearance. Works once before self-destructing.",Consumable,N/A,D,F,F,F,F,F,D,F,10,D,N/A,N/A,N/A,N/A,FALSE,FALSE
Character Reroll Crystal,Generic,"A crystal that, once broken, allows you to entirely redo your 'character'. Including manipulating all your stats, altering your abilities and skills, changing your appearance, and in general changing anything to do with you. Does not affect things obtained from the gacha.",Consumable,N/A,B,C,F,F,F,F,C,F,70,C,N/A,N/A,N/A,N/A,FALSE,FALSE
Tengen Toppa Gurren Lagann,Tengen Toppa Gurren Lagann,"The titular mech. Throws universes as an attack. Unfathomably large. So long as you maintain your resolve, you cannot be beaten.",Vehicle,N/A,EX,EX,EX,EX,EX,EX,EX,EX,"80,000",EX,Train,Hyper,N/A,N/A,FALSE,FALSE
Chou Tengen Toppa Gurren Lagann,Tengen Toppa Gurren Lagann,The Super Titular Mech. Bigger than the universe. Infinitely powerful. The hope of the universe. Reincarnation of Kamina. Not technically a mecha.,Familiar,N/A,EX,EX,EX,EX,EX,EX,EX,EX,"80,000",EX,Train,Hyper,N/A,N/A,FALSE,FALSE
Rule 63,Generic,"The universe has changed. Women are men. Men are women. Not everyone has changed, but its definitely noticeable. You may either flip the gender of everyone within the story (including yourself) or pick and choose. Nobody notices the swap, except yourself.",World,N/A,A,C,F,F,F,F,F,E,111,B,N/A,N/A,N/A,N/A,FALSE,TRUE
Rule 34,Generic,"Everything is a lot lewder than you remember. Sex is completely accepted, kinks are celebrated, and clothing is optional. Asking for a quick fuck from a stranger will work more often than you expect. You may reroll this if you wish.",World,N/A,A,C,F,F,F,F,F,E,111,B,N/A,N/A,N/A,N/A,FALSE,TRUE
Megacorp Vendor Subscription,Ratchet and Clank,"Founded and ran by Abercrombie Fizzwidget, Megacorp is the leading producer of all products in the Bogon Galaxy. Weapons, Gadgets, Robotics, Appliances, Commercial Entertainment, and more! With enough bolts (or applicable legal tender) you too can take advantage of Megacorp's many products! Buy Megacorp!",Arsenal,N/A,A,B,B,B,B,C,SSS,E,"5,311",SS,Time,Medium,N/A,1hr,FALSE,FALSE
Horns,Generic,"Allows you to grow sturdy, pointy horns on your head. Shape them as you please. Don't point them at your eyes.",Passive,N/A,E,F,E,F,F,E,E,E,5,E,Time,Medium,N/A,N/A,FALSE,FALSE
Chameleon Hide,Generic,Stand still to hide by bending light around yourself. Any movement larger than a twitch will break the disguise.,Ability,N/A,E,E,F,F,F,F,F,F,2,F,N/A,N/A,N/A,N/A,FALSE,FALSE
Eros Hide,Generic,Erects an aura around you and your partner. Any lewd actions done within that aura will be ignored as if they're completely normal. Great for public sex and exhibitionism.,Ability,N/A,D,E,F,F,F,E,F,E,8,E,N/A,N/A,N/A,N/A,FALSE,TRUE
Exorcist Gloves,Generic,A pair of white gloves that allows you to interact with spiritual beings like they're solid.,Wearable,N/A,E,F,F,F,F,F,F,E,2,F,N/A,N/A,N/A,N/A,FALSE,FALSE
Warp Star,Kirby,"A little golden star used by a tiny little pink ball of joy and whimsy. Goes so much faster than lightspeed it's ridiculous. Good luck holding on, though.",Vehicle,N/A,SSS,F,F,F,EX,F,F,C,"15,010",SSS,N/A,N/A,N/A,Auto,FALSE,FALSE
Darksaber (Planetary Weapon),Star Wars,"Made from the blueprints of the Death Star, this planet buster weapon has a 50/50 gamble of self-destructing upon activation",Arsenal,N/A,S,F,S,F,F,F,F,S,"1,500",S,N/A,N/A,N/A,N/A,FALSE,FALSE
I CAST FIST!,Generic,"You may replace all motion and verbal spell requirements by yelling ""I cast fist"" and punching.",Ability,N/A,E,F,E,F,F,F,F,F,2,F,N/A,N/A,N/A,N/A,FALSE,FALSE
Shadow Wizard Money Gang Membership,Generic,"You are now a member of the Shadow Wizard Money Gang. You can call up a few homies to help you out in you're in a pinch, which they will always attempt to solve by casting spells. Gather enough and you can even drop nuclear bombs. Also comes with a sweet robe and some bling.",Familiar,N/A,C,F,C,F,F,F,F,F,20,D,N/A,N/A,N/A,N/A,FALSE,FALSE
I CAST IRON!,Generic,"Requires 15"" cast iron skillet as a material component and the ability to swing it one handed",Ability,N/A,E,F,E,F,F,F,F,F,2,F,N/A,N/A,N/A,N/A,FALSE,FALSE
Summon Bigger Gun,Generic,Summon a weapon larger and more dangerous than any weapon currently being wielded by an enemy in the fight you are currently in. This defaults to giving a weapon of the same type as your enemy.,Ability,N/A,E,F,F,E,F,F,F,F,2,F,N/A,N/A,N/A,N/A,FALSE,FALSE
Thugs 4 Less,Ratchet and Clank,"Thugs 4 Less, pay for six hits and the seventh is free! With competitive rates and five star service, Thugs 4 Less will take care of whatever problem you've got. With skills in yoga, speed bikes, and ass kicking, see if Thugs 4 Less is right for you with this complimentary voucher, summoning 3 Thugs 4 Less, right now! More Thugs cost extra, but also include ships, bikes, jump boosters, and giant ass kicking robots for your general needs.",Familiar,Other,C,F,B,E,C,A,E,C,182,B,Ticket,Slow,12hr,N/A,FALSE,FALSE
Digimon Code Seed,Digimon,"A small seed made entirely of circling code. Consuming it turns you into a Digimon- an entity composed entirely of data. You have complete access to your own code, which is in a unique and monstrously complicated language, able to modify your own appearance and abilities provided you have the knowledge of coding to do so. You no longer need to eat or sleep to live and can live through even grevious damage without issue. Self-repair regenerates you quickly, but with some skill you can heal yourself even faster through repairing your own code.",Race,N/A,C,F,C,C,C,D,C,F,55,C,N/A,N/A,N/A,N/A,FALSE,FALSE
Effortless Aura,Generic,"Your ability to seem cool is unmatched. It doesn't matter what you're doing or how you're doing it, events will conspire to make you look awesome.",Passive,N/A,F,F,F,F,F,C,F,F,10,D,N/A,N/A,N/A,N/A,FALSE,FALSE
No Cock Like Horsecock,Generic,"Your penis is now a fully functional horse penis, sheath and extra scrotum size included. If you didn't have a dick before... congrats!",Passive,N/A,E,F,E,F,F,E,E,E,5,E,N/A,N/A,N/A,N/A,FALSE,TRUE
Latex Beast,Changed,"You're entirely made of a flexible latex substance in the form of a humanoid animal. By default your body is overly malleable and prone to dissolving, but you may overtake a humanoid in order to assure your stability. This process is pleasureable and safe, but renders the host into a pliant state subject to your whims. You no longer need to eat or sleep and gain increased strength and speed.",Race,N/A,F,F,D,F,D,F,C,F,20,D,Tinker,Hyper,N/A,N/A,FALSE,TRUE
Mr. Studd,Cyberpunk 2077,From the Moment I Understood the Weakness of My Flesh... I CHROMED THE FUCK UP!!,Passive,N/A,E,F,F,F,F,E,E,E,4,F,Ticket,Slow,N/A,N/A,FALSE,TRUE
Vial of the Punishing Virus,Punishing Gray Raven,"Infects you with the full might of the Punishing Virus. Might turn you into Alpha. Full body enhancement, plus a bunch of anime stuff. You might have to read the wiki page for this one ngl.",Consumable,N/A,D,F,A,C,A,F,D,F,220,B,Train,Hyper,N/A,N/A,FALSE,FALSE
Midnight Lady,Cyberpunk 2077,From the Moment I Understood the Weakness of My Flesh... I CHROMED THE FUCK UP!!,Passive,N/A,E,F,F,F,F,E,E,E,4,F,Ticket,Slow,N/A,N/A,FALSE,TRUE
Of Course You Can Fuck It!,Generic,"By default, anything humanoid is built or created with the idea that someone wants to have sex with it, and should be able to do so. This may extend to non-humanoid entities if you wish.",World,N/A,F,B,F,F,F,F,F,F,50,C,N/A,N/A,N/A,N/A,FALSE,TRUE
Leash of the Heishou,Project Moon,"An ornate wooden whistle with a hare and the hanzi ""兔"" on the side. Whistling will summon a pack of Mao Heishou to assist you in your endeavors. Get a duplicate to summon Adept Mao Heishou.",Familiar,N/A,C,D,C,E,C,E,B,D,92,C,Twin,Slow,N/A,N/A,FALSE,FALSE
"Haven Troopers ""FROGS""",Metal Gear Solid,"Summons a squad of five Haven Troopers, fully equipped with powered suits, nanomachines, bladed weapons, and their primary ranged weapons.",Familiar,N/A,E,D,D,E,D,D,E,E,24,D,Trust,Medium,N/A,N/A,FALSE,FALSE
John's Browning,Generic,"A .44 Sharps Rifle owned and used by John Brown. When fired at slavers or in defense of slaves, guarantees death to your enemies.",Arsenal,N/A,F,F,E,F,F,F,F,D,6,E,N/A,N/A,N/A,N/A,FALSE,FALSE
Doyen's Growth Pills,HunterxHunter,A vial of 100 pills. Taking a pill makes you grow by 1cm per pill. Don't use it if you're under 20.,Consumable,N/A,E,F,F,F,F,F,E,F,2,F,N/A,N/A,1wk,24hr,TRUE,FALSE
Power Fist,Fallout,A standard pneumatic power fist that can put a crater in a wall. Not helpful if you're already superhuman.,Arsenal,N/A,E,F,D,F,F,F,F,E,7,E,N/A,N/A,N/A,24hr,TRUE,FALSE
Sentry Turrets,Portal,A box of 9 Aperture Science brand Sentry Turrets equipped with twin machine guns. Bullets refill every 24 hours. Warranty void if dismantled.,Arsenal,N/A,E,E,E,E,F,E,F,E,6,E,N/A,N/A,1wk,N/A,TRUE,FALSE
One Singular Potato,Generic,"It's a potato. One that grows quickly and can be planted in anything short of horribly toxic soil. Will yield more potatoes way faster than any regular potato, but it is... still a potato. Or you could eat it.",Farmable,N/A,E,F,F,F,F,F,E,F,2,F,Time,Fast,N/A,N/A,TRUE,FALSE
"Sword of Rupture, Ea",FATE,"The sword of primordial chaos symbolizing the Beginning and the End. Its command is ""Enuma Elish"". To wield the sword is to be considered transcendent.",Arsenal,N/A,S,C,C,F,F,B,F,A,670,A,Train,Slow,N/A,Auto,FALSE,FALSE
Milf'd,Generic,Congratulations! You're a MILF now. Sorry if you get gender dysphoria from this. Whoops!,Race,N/A,E,F,F,F,F,E,F,F,2,F,N/A,N/A,N/A,N/A,FALSE,TRUE
Mackie MSK-5S (Kincaid),Battletech,"A 100 ton mech, 20 of which is armor, capable of reaching up to 54 km/h and using 15 heat sinks. The original prototype used by Colonel Charles Kincaid that signaled a new era of warfare. Equipped with a prototype particle projector cannon, an autocannon/10, and two point defense lasers. Once deployed from a pocket space, it remains in the world indefinitely. Restocks ammo and spare parts every 24 hours. Comes with a users manual.",Vehicle,N/A,F,F,D,F,D,F,F,D,15,D,Tinker,Fast,24hr,N/A,TRUE,FALSE
Mackie MSK-9H,Battletech,"The upgrade to the MSK-5S. 100 tons, 19 of armor, with an internal system to direct explosions away from the ammo stockpile. Max speed of 54km/h and 20 heat sinks. Equipped by default with two particle projector cannons, two autocannon/20s, and two medium lasers. Spare parts, ammunition, and other equipment restock every 24hrs. Once summoned, cannot be unsummoned, but will remain in a pocket space until then.",Vehicle,N/A,F,F,D,F,D,F,F,E,11,D,Tinker,Fast,24hr,N/A,TRUE,FALSE
Orion ON1-K Kerensky,Battletech,"The heavily modified mech belonging to General Aleksandr Kerensky. 75 tons, 14 and a half of which is armor, max speed of 64km/h, and 10 heat sinks. Instead of the standard arnament, holds a snub-nosed Particle Projector cannon in the left torso, short range missles with a laser guidance system, a gauss rifle on the right arm, and two medium lasers. In addition, uses ferro-fibrous armor and a system to divert explosions from the ammo stockpile. Ammunition, spare parts, and other equipment restocks every 24hr. Resides in a pocket space until summoned. Cannot be unsummoned.",Vehicle,N/A,F,F,D,F,D,F,F,C,20,D,Tinker,Fast,24hr,N/A,TRUE,FALSE
Dicksprout,Trials in Tainted Space,A standard automatic injector of Dicksprout. A futuristic drug which will enlarge penis and balls. Used by someone without either will result in them growing such. When used on nipples or tails this will also turn them into dicks.,Consumable,N/A,F,F,F,F,F,E,E,F,2,F,N/A,N/A,1wk,N/A,TRUE,TRUE
Pussyblossom,Trials in Tainted Space,"A single pill of Pussyblossom. When used will generate or deeped a vagina. If obtained again, upgrade to the enhanced version, which creates up to three vaginas. This upgrade can be refused and the roll refunded. ",Consumable,N/A,F,F,F,F,F,E,E,F,2,F,N/A,N/A,1wk,N/A,TRUE,TRUE
Junk in the Trunk,Trials in Tainted Space,"A single pill of Junk in the Trunk. When consumed, enlarges the ass of whoever consumes it.",Consumable,N/A,F,F,F,F,F,E,E,F,2,F,N/A,N/A,1wk,N/A,TRUE,TRUE
Ashley Bat,OFF,"An ominous seeming white baseball bat. Ignores all evasive techniques, automatically hits a second time after the first succeeds. Carries the elements of Metal and Meat, doing more damage against those weak to such elements. ",Arsenal,N/A,D,D,B,F,F,E,F,E,62,C,Train,Slow,N/A,N/A,TRUE,FALSE
Tamamo Cat,FATE,"An orange haired foxgirl with massive cat paws for hands dressed in a red and black miko outfit. One of the tails of Tamamo no Mae. Not the smartest, mildly feral, rather straighforward, and rather loyal. Can cook, clean, and help a little with making talismans, though her main abilities are more physically focused..",Familiar,Female,D,C,B,E,B,D,F,C,131,B,N/A,N/A,N/A,N/A,FALSE,FALSE
Penny Inoue,Trials in Tainted Space,"A space police officer who has heavily modified herself into an anthropomorphic fox. Exceptionally professional on the job, but has a high libido as a side effect of her splicing. Will only have sex with those who have her trust and is a switch in bed. One of her idle wishes is to have a penis, simply to see how it feels.",Familiar,Female,F,F,E,E,E,E,F,E,5,E,Trust,Slow,N/A,N/A,FALSE,TRUE
The Ball Gag of Truth,Generic,"So long as the ball gag is being properly worn, the wearer must tell the truth, the whole truth, and indicate whether or not they are unsure of a piece of information. Works 100% of the time, guaranteed. No refunds.",Wearable,N/A,C,F,F,F,F,F,F,F,10,D,N/A,N/A,N/A,N/A,FALSE,TRUE
Hyper Fetation,Generic,"Allows you to get pregnant even while currently pregnant. Children after the first will grow faster to catch up to the first child. While this ensures you will carry to term and give birth without complication regardless of the number of pregnancies, it does not ensure comfort.",Passive,N/A,F,F,D,F,F,C,D,F,20,D,N/A,N/A,N/A,N/A,TRUE,TRUE
The Butt Plug of Submission,Generic,"When inserted into someone's ass, will render them into an extremely suggestible state where they will follow all of your orders. They may be instructed to act normally, but will drop everything to carry out your orders once given unless otherwise instructed. The buttplug will expand or contract for the perfect fit, is self lubricating, and cannot be removed accidentally. Though it can be removed by anyone, not only the person who placed it. ",Wearable,N/A,A,A,F,A,F,F,F,F,300,B,N/A,N/A,N/A,N/A,TRUE,TRUE
Anya Forger,Spy X Family,A (self-claimed) 10 year old female child. She is heavily interested in spies and spying and is psychic- able to read the minds of people around her.,Familiar,Female,D,E,F,F,F,C,F,F,16,D,Trust,Slow,N/A,N/A,FALSE,FALSE
MILF Beam,Generic,"A beam which, upon hitting a target, turns them into a MILF. By default turns them into a MILF version of themselves, but can be directed to change into a specific look. Does not include clothes upon transforming, but does prevent injury from current clothing being destroyed as a result of the transformation.",Ability,N/A,S,F,F,F,F,F,F,F,500,A,N/A,N/A,N/A,N/A,FALSE,TRUE
Gender Bending Beam,Generic,"A beam that turns the target into the opposite gender. Permanent unless the beam is used again. By default they look exactly as if they were born that way and grew to their current age under the exact same circumstances. With practice the user can specify physical traits, such as larger boobs, or general traits, such as not suffering from a lack of nutrients while growing, which will be applied to the resultant transformation. Changes current clothing to what the affected would be wearing at the moment they were struck had they grown up as the gender they were turned into.",Ability,N/A,B,B,F,F,F,B,F,F,150,B,N/A,N/A,N/A,N/A,FALSE,TRUE
SOUND EFFECTS,Comics,"Every action you take is now accompanied by a sound effect! This will not reveal your location to anyone unaware of it, but people aware of you can also hear the effects.",Passive,N/A,F,E,F,F,F,F,F,F,1,F,N/A,N/A,1wk,N/A,FALSE,FALSE
God Hand,FATE,"You have been granted twelve lives. This doesn't make you any more naturally resistant to damage, but once killed by something you gain significantly increased resistance against that same thing. You regenerate a life a week, and the resistance is removed upon gaining that life back.",Passive,N/A,A,F,F,A,F,E,A,A,401,B,N/A,N/A,N/A,N/A,FALSE,FALSE
Lewd Sealing,Generic,"You have an innate understanding of creating magical tattoos for lewd purposes and a large beginners kit to get you started. Lust crests, fertility modifying tattoos, kink writing, moral degredation scribbling, and even turning others into mind controlled slaves are all possible. As well as quite a bit more. With significant effort, you can learn how to make non-lewd effects, but you have no natural talent with those from this roll.",Skill,N/A,B,B,D,B,F,B,B,F,255,B,Train,Medium,N/A,N/A,FALSE,TRUE
Mon Pass,Generic,"Monster fucker, are we? Nobody will find it odd if you fuck monsters, even if such a thing would normally raise concerns. This does not ensure any given moster would be willing to fuck you, nor does it apply in the case that the monster is genuinely incapable of consent. Also doesn't provide any protection when it comes to the necessary requirements for actually having sex with the monster in question. Better get a Potion of Fire Immunity before fucking that Flame Atronach.",Passive,N/A,F,B,F,F,F,D,F,F,55,C,N/A,N/A,N/A,N/A,FALSE,TRUE
A Condom,Generic,"A singular, unopened condom. It will someone perfectly fit whoever opens it.",Wearable,N/A,F,F,F,F,F,F,F,F,0,F,N/A,N/A,N/A,N/A,TRUE,TRUE
Off Screen Moment of Awesome,Generic,"So long as the world isn't looking, it can't say no. You will win any fight... as long as something more important is going on at the same time. Fighting a drunk in an alleyway? An important woman meeting a guy might be enough to assure victory. Facing an army in a final grand stand? If the Protagonist isn't getting his home burned down at the same time, you're going to get mulched.",Passive,N/A,A,A,F,F,F,S,F,D,705,A,N/A,N/A,N/A,N/A,FALSE,FALSE
Silver Crystal,Sailor Moon,"The crystal of hope and light, capable of reviving an entire world from death, purifying evil, and much more.",Arsenal,N/A,EX,SS,B,S,F,B,F,S,"12,100",SSS,Train,Medium,N/A,N/A,TRUE,FALSE
A Single Super Chaos Emerald,Sonic The Hedgehog,The super version of a Chaos Emerald. Far stronger than the smaller ones. Get all 7 and 7 Chaos Emeralds to unlock a Hyper form.,Arsenal,N/A,SSS,SS,F,F,F,B,C,SS,"7,060",SS,Train,Slow,N/A,N/A,TRUE,FALSE
Zilla Sr.,Godzilla (Tristar),"The so-called Godzilla that attacked New York in 1998. Resistant to conventional weapons, vulnerable to six missiles to the throat. Can lay eggs via parthenogenesis.",Familiar,Female,D,D,C,E,C,C,C,C,61,C,Trust,Medium,N/A,N/A,FALSE,FALSE
Hyper Muteki Gashat,Kamen Rider Ex-Aid,"A totally normal game item. Nominally no use, but grants immense power when combined with the Gamer Driver. Combine with the ??? Gashat for a special new form.",Arsenal,N/A,C,F,F,F,F,F,F,E,11,D,Ticket,Hyper,N/A,N/A,TRUE,FALSE
Book of Unconventional and Horny Spells,Generic,"A leatherbound tome that contains horny and depraved spells (and dumb) spells within, such as ""Fushigi"", ""FAT TITS"", Dick In Your Mouth, Glitter Blaster, Lube Sprinkler, Paper Pigeons, etc. Cast by shouting ""I CAST"" and the name of the spell.",Arsenal,N/A,D,D,E,E,F,E,E,F,14,D,Train,Medium,N/A,N/A,TRUE,FALSE
Zofa Soldiers,Dinarangers,"A squad of 5 Zofa Soldiers clad in tight latex, with masks and belts. Decent enough cannon fodder, their real use is to infect and convert other people into more Zofa Soldiers (the horny way).",Familiar,Female,E,E,E,E,E,E,E,E,8,E,Train,Slow,N/A,N/A,FALSE,TRUE
Psycho,Fallout,"A highly addictive combat drug meant to suppress pain, induce a blood rage, enhance reflexes, increase metabolism, and enhance concentration. 8 doses in one bandoleer. Try not to make a habit of it.",Consumable,N/A,E,F,E,E,E,F,E,E,6,E,N/A,N/A,24hr,N/A,TRUE,FALSE
Bondage of Enduring,Generic,"A set of silk bondage ropes that, when tied and worn instead of clothes, enhances durability and stamina regeneration, and converts pain into pleasure.",Wearable,N/A,E,E,E,E,F,E,F,F,5,E,N/A,N/A,N/A,24hr,TRUE,FALSE
One Thousand Bottles of Baby Oil,Generic,One thousand bottles of unbranded baby oil. Yes. Like that guy. You know the guy.,Consumable,N/A,F,E,F,F,F,F,F,E,2,F,N/A,N/A,N/A,N/A,TRUE,FALSE
Kaguya Houraisan Fumo,Touhou Project,"A fumo of a certain Lunar Princess. It bears the concept of eternity, which means it cannot ever be destroyed and will stay like that forever.",Novelty,Female,D,E,F,F,F,F,F,E,7,E,N/A,N/A,N/A,24hr,TRUE,FALSE
